
 2023-08-05 22:02:05.825203 Пользователь kolyaxaxa, Коля Какой-то: использование команды /start
 2023-08-05 22:02:31.545838 Пользователь kolyaxaxa, Коля Какой-то: использование команды /start
 2023-08-05 22:02:31.545838 Пользователь kolyaxaxa, Коля Какой-то: выбрал снайперские винтовки
 2023-08-12 23:32:08.711080 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-12 23:32:08.711080 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал снайперские винтовки
 2023-08-12 23:32:08.711080 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-08-12 23:52:24.812347 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-08-12 23:52:24.812347 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-12 23:52:24.812347 Пользователь kolyuxaxa, Какой-то Коляхаха: FAMAS
 2023-08-13 10:15:23.661603 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-13 10:15:23.661603 Пользователь kolyuxaxa, Какой-то Коляхаха: FAMAS
 2023-08-13 10:15:23.661603 Пользователь kolyuxaxa, Какой-то Коляхаха: AKR-12
 2023-08-13 10:15:23.661603 Пользователь kolyuxaxa, Какой-то Коляхаха: M4
 2023-08-13 10:15:23.661603 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-13 10:17:03.892135 Пользователь kolyuxaxa, Какой-то Коляхаха: FAMAS
 2023-08-13 10:17:03.892135 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-13 10:17:03.892135 Пользователь kolyuxaxa, Какой-то Коляхаха: FAMAS
 2023-08-13 10:18:49.806096 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-13 10:18:49.806096 Пользователь kolyuxaxa, Какой-то Коляхаха: FAMAS
 2023-08-13 10:18:49.806096 Пользователь kolyuxaxa, Какой-то Коляхаха: AKR-12
 2023-08-13 10:18:49.806096 Пользователь kolyuxaxa, Какой-то Коляхаха: M4
 2023-08-13 10:18:49.806096 Пользователь kolyuxaxa, Какой-то Коляхаха: M16
 2023-08-13 10:20:47.432229 Пользователь kolyuxaxa, Какой-то Коляхаха: FnFal
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: FnFal
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: использование команды /start
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: выбрал штурмовые винтовки
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: FAMAS
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: AKR-12
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: M4
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: M16
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: FnFal
 2023-08-13 10:21:03.676962 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-13 10:23:15.264521 Пользователь kolyuxaxa, Какой-то Коляхаха: АКР
 2023-08-13 10:23:15.264521 Пользователь kolyuxaxa, Какой-то Коляхаха: FAMAS
 2023-08-13 10:23:15.264521 Пользователь kolyuxaxa, Какой-то Коляхаха: AKR-12
